hash;ball;egkr;a1;a2;a3;ag;g1;g2;g3;gg;i1;i2;i3;ia;ig;f1;f2;f3;fa;fg;r1;r2;r3;ra;rg;pri;prm;prf;prr
012751A24FCDCAAEB552C24B37A86B4F;100;88;4;4;4;4;3;3;4;3;3;4;4;4;4;4;3;4;4;4;5;4;4;4;4;5;4;3;0
B59AC84DF9E5291449717F352A478062;100;93;5;4;5;5;4;4;5;5;4;4;5;5;5;4;4;4;4;4;5;4;5;5;5;5;5;4;0
357E3B77A9E06DB3C595F6E6EF504C91;100;90;3;3;4;3;4;4;4;4;3;4;4;3;4;4;3;4;4;4;4;4;4;4;4;0;4;4;0
67D58DC02EF6130D7FA3EDBE5AABC6C8;100;93;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;0
84D2677F3CC5F63A13351E4C812E9EB1;98;88;5;5;5;5;5;4;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;3;0
5EF0AF578B4F85BA1527899BF4491077;98;93;4;3;4;4;4;3;4;4;3;3;4;4;4;3;3;3;3;3;4;4;3;4;4;3;3;0;0
A02F4F2E25660202C9F1B157CFCADD30;98;85;4;4;4;4;5;4;5;5;4;4;5;5;5;4;4;5;5;4;4;4;4;4;4;5;5;4;4
C815C337A9C0215D4E78953A6A710F7E;98;100;4;4;5;5;5;4;5;5;4;5;4;4;4;4;4;5;4;4;4;4;4;4;4;5;5;4;4
8D9718DDD51724482EC89027A003D4C6;98;95;4;4;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;5;4;5;5;4;5;0;5;4;0
28A5D6F512B840F532D83A96546FC3CA;95;95;5;4;4;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;5;5;5;0;4;3;0
44B4C9FF84F755D51BD256276AB7D5C6;95;72;5;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;4;5;0;5;4;0
4F74132CCB92FB5717786CE305CD90BA;95;95;4;3;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;5;4;5;0;4;0;0
CDAD43CE3CE5F05C85D4F201EECD06C1;95;83;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;5;4;5;0;5;4;0
15FF64AF3B60DA5A1C3A07628E160154;95;93;4;4;4;4;4;3;4;4;4;3;3;4;3;4;4;4;4;4;4;4;5;4;4;4;5;4;0
421D332A79F0E7D118F0BE41A21B9F22;95;88;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0
19B7D13A32ABE32DA4DB93C5BC91EE30;95;90;4;4;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;5;4;5;5;4;5;0;5;4;0
A9AEC8E8DEA00390857098942DB82AE7;93;83;4;4;4;4;4;3;4;4;4;3;3;4;3;4;4;4;4;4;4;4;5;4;4;4;5;4;0
27162B6978EC389DA7E5CA9271EA8878;93;98;3;4;4;4;3;3;4;4;4;4;3;3;3;3;4;4;4;4;4;3;3;4;3;0;4;4;0
FBC1FB83C160F93E4FAD0459AE8A0451;93;95;4;3;4;4;4;3;5;4;4;4;3;4;4;4;4;4;4;4;4;4;5;4;4;0;4;3;0
5EF0AF578B4F85BA1527899BF4491077;93;90;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;5;4;4;0;4;0;0
EC720630287FFB7D85F953A76D2E1426;93;98;5;4;4;4;4;4;5;5;4;4;4;5;4;5;4;4;4;4;4;4;4;4;4;0;5;0;0
A02F4F2E25660202C9F1B157CFCADD30;93;88;4;3;3;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;4;0;4;3;0
5EF0AF578B4F85BA1527899BF4491077;93;88;4;3;4;4;4;3;3;3;4;4;5;4;4;4;4;4;4;4;4;3;4;4;4;0;3;3;0
42EE0CCA406BC645E888D90F47C1E594;93;93;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;5;4;4;4;0;4;0
247C815698FF3E10759F640A6125F4F9;93;93;5;4;5;5;4;4;4;4;4;5;5;5;5;4;4;4;4;4;4;4;5;4;4;0;0;3;0
89C6689011E4D9A028BBDD3D233EF61F;93;83;4;4;4;4;3;3;4;4;4;3;4;4;3;4;4;4;4;4;4;5;5;5;5;0;0;0;0
4544DBC9E20B5B3C3F72853A110F3522;93;80;4;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;0;3;0
420640F19200B144AD62000E0D697F1A;93;90;3;3;4;3;3;3;4;4;3;4;3;4;4;3;3;2;3;3;4;4;4;4;4;0;0;3;0
EB7E290DD6713398DCBCC546DB25D593;93;93;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;0;3;0
DC8278E9E9ACAC9BC1987B9B813DC9E8;93;83;4;4;4;4;5;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;0
DB823C4B282A766E5731B822559A711C;93;80;4;4;4;4;3;3;4;3;3;4;4;4;4;3;3;3;3;3;4;5;5;5;5;4;4;0;0
AD6CBA64C5661571D5EE2660C8A48666;90;95;3;3;3;3;3;3;3;3;3;3;4;4;4;4;3;3;3;4;4;4;3;4;4;3;4;4;0
868B2AE982A6C037512F08F0A55E54F4;90;88;4;4;4;4;4;3;4;4;4;3;3;4;3;4;4;4;4;4;4;4;5;4;4;4;5;4;0
062BAF2A2B5DED6C50BDD76F49EC9372;90;95;3;4;4;4;3;3;4;4;4;4;3;3;3;3;4;4;4;4;4;3;3;4;3;0;4;4;0
9AF44499D8C7F31C38F6437A483D801F;90;95;3;3;3;3;4;4;4;4;3;4;3;4;4;3;3;3;3;3;4;4;4;4;4;4;4;3;0
5302FF8B15BA98396CB7FC4B3CAEC184;90;98;5;5;5;5;5;4;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;3;0
062BAF2A2B5DED6C50BDD76F49EC9372;90;93;4;4;4;4;4;3;4;4;4;4;3;4;4;3;4;4;4;4;3;4;4;4;4;4;4;3;0
6E6C9F76306B04E3EFF383B9BCA1C288;90;80;4;4;4;4;4;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;0;4;4;0
25A968CC3ED41E129A6174B8FB71819C;90;80;5;4;4;4;4;4;5;5;4;4;4;5;4;5;4;4;4;4;4;4;4;4;4;0;5;0;0
556FC4F2EA179AAB1F030CBD8A0C4289;90;78;3;4;4;4;4;3;5;4;4;4;5;4;4;4;4;3;4;4;4;5;4;4;4;0;4;0;0
773BE4FF62A360EFF224B13D9775FF41;90;85;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;5;5;0
476F9588F5BB17974F4C363873FB28C2;90;67;4;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;0;3;0
4F74132CCB92FB5717786CE305CD90BA;88;75;5;5;4;5;5;4;5;5;3;4;4;4;4;3;3;3;3;3;4;5;5;4;4;0;0;3;0
87C91A07E46D9FFBEA11E89908131E53;88;88;3;4;4;4;4;3;3;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;0
10117753AA4A8A0D25F1A84E7F52B18A;88;93;4;4;4;4;3;3;4;3;3;4;4;4;4;3;3;3;3;3;4;5;5;5;5;4;4;0;0
5EF0AF578B4F85BA1527899BF4491077;88;98;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;0
10117753AA4A8A0D25F1A84E7F52B18A;88;80;5;5;5;5;5;4;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;3;0
F06A1E69C22CB14382BEE4729EBEBCDA;88;75;4;4;4;4;4;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;0;4;4;0
19E385F8029DB9A59789E0532B716078;88;80;3;3;3;3;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4
07CFC920D7969F4BCFB2E90D31AA9EA3;88;88;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;4;5;0;5
EB7E290DD6713398DCBCC546DB25D593;85;75;4;4;5;5;5;4;5;5;4;5;4;4;4;4;4;5;4;4;4;4;4;4;4;5;5;4;4
B59AC84DF9E5291449717F352A478062;85;72;4;4;4;4;5;4;5;5;3;5;5;5;5;4;3;4;4;4;4;4;4;4;4;5;5;3;4
062BAF2A2B5DED6C50BDD76F49EC9372;85;93;3;3;4;3;3;3;3;3;3;4;4;4;4;3;3;3;4;3;3;3;4;3;3;0;3;0;0
DF84E26B48E865B04AC6F3656F599063;85;59;4;4;4;4;5;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;5;4;4;0;4;0;0
341EF4B15D49B7D7F6003C5CB2CAD192;85;70;4;4;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;5;4;5;5;4;5;0;5;4;0
742BB883AAAED99F2FC2EFCD2B5A7FF5;85;64;3;3;4;3;3;3;3;3;4;3;4;4;4;4;4;4;4;4;4;5;4;4;4;0;0;0;0
C0BECA437AF637FB79A7DDF8603FE938;83;75;4;4;4;4;5;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;0
F160A2B36D6F1AC072CF5B00950B575F;83;75;4;4;4;4;5;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;0
743EC263BA8A3B43F157FC5C2B9392A2;83;70;4;3;3;4;4;3;4;4;2;4;3;3;4;3;2;4;3;3;5;4;4;4;4;4;3;0;0
68F89326F6FD8082470BF0F0515DFCE5;83;70;3;3;3;3;3;3;3;3;3;3;4;4;4;4;3;3;3;4;4;4;3;4;4;3;4;4;0
671CF31B67F9BC8B69462CBB365858BB;83;67;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5;5;4;5;5;4;5;4;0
1A3F11A5C5F82DE7C4008252FF6B6550;83;70;3;3;4;3;4;4;4;4;3;4;4;3;4;4;3;4;4;4;4;4;4;4;4;0;4;4;0
CED22778BA2D72B9FCB56FA646509249;83;67;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;0
DF84E26B48E865B04AC6F3656F599063;83;62;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;5;4;4;0;4;4;0
6CB6CA183D3D8F0EEAD8FF717754BFA6;83;62;5;4;4;4;4;3;3;3;4;5;4;5;4;4;4;3;4;4;4;4;4;4;4;0;4;0;0
4C406B43B07D00DE3541DB99A42CB4AB;83;80;5;4;4;4;4;4;5;5;4;4;4;5;4;5;4;4;4;4;4;4;4;4;4;0;5;0;0
420640F19200B144AD62000E0D697F1A;83;75;5;4;5;5;5;4;5;5;5;4;4;4;4;4;5;5;5;5;4;5;5;4;5;0;5;4;0
EC720630287FFB7D85F953A76D2E1426;80;78;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;5;4;5;4;4;4;4;4;0;4;4;0
73FEAD7CBD6424BAB813F88DCB0AAA9D;80;75;4;4;4;4;4;4;5;4;5;4;5;5;5;4;5;5;4;5;4;4;5;4;4;0;0;4;0
E7AF6424C48BFBEF1233A92467A4577D;80;88;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;5;4;4;4;0;4;0
244F7329A6B32BF8CD6DB4BCB3B42DE7;80;67;4;4;4;4;3;3;4;4;4;3;4;4;3;4;4;4;4;4;4;5;5;5;5;0;0;0;0
AD6CBA64C5661571D5EE2660C8A48666;80;75;4;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;0;3;0
0D03730A001707C801B2921DCDEE3B14;80;78;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;0;3;0
7D49350492D9F8433852A4EEE0ABC3C8;80;72;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;5;4;4;4;0;3;0
4F74132CCB92FB5717786CE305CD90BA;80;75;4;4;4;4;4;4;5;5;3;5;3;4;5;4;3;4;4;4;4;4;4;4;4;4;4;4;0
2244F68FCAA42D98ADA940014F148BCE;80;83;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;4;4;4;0;4;0;0
478E1DF8DA85914E00AA304C5F870A04;80;59;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;4;4;4;0;4;0;0
D8E0CE9744BCF8B86A23022FBF0620A4;78;75;4;4;4;4;4;3;3;3;3;4;4;3;4;4;3;4;3;4;5;5;4;5;5;4;4;0;0
9F9C7C5F8E417A13522DC63CE78AD8A4;78;70;4;4;4;4;4;3;4;4;4;3;3;4;3;4;4;4;4;4;4;4;5;4;4;4;5;4;0
